symbol;code;width;height;area;mass;mass_norm;q1_mass;q1_mass_norm;q2_mass;q2_mass_norm;q3_mass;q3_mass_norm;q4_mass;q4_mass_norm;cx;cy;cx_norm;cy_norm;ix;iy;ix_norm;iy_norm
Ⱊ;U2C1A;48.0;50.0;2400.0;953.0;0.39708333333333334;150.0;0.25;280.0;0.4666666666666667;323.0;0.5383333333333333;200.0;0.3333333333333333;26.363064008394545;25.573976915005247;0.5609162554977563;0.5219178962245968;216643.03462749213;204778.3798530955;0.09093096941342797;0.09326285954309832
Ⱋ;U2C1B;37.0;51.0;1887.0;943.0;0.49973502914679385;270.0;0.6;275.0;0.5789473684210527;198.0;0.4230769230769231;200.0;0.4048582995951417;17.8441145281018;23.40402969247084;0.4956698480028278;0.4680805938494168;177795.06468716857;113476.08483563096;0.07248825689734659;0.08790006625702358
Ⱌ;U2C1C;51.0;50.0;2550.0;874.0;0.3427450980392157;404.0;0.6464;199.0;0.30615384615384617;6.0;0.0096;265.0;0.4076923076923077;25.664759725400458;19.68192219679634;0.5132951945080092;0.40167188156727224;151067.5743707094;155150.77459954232;0.06913847797286471;0.06824992262241257
Ⱍ;U2C1D;42.0;51.0;2142.0;888.0;0.41456582633053224;206.0;0.3923809523809524;185.0;0.3523809523809524;247.0;0.4523809523809524;250.0;0.45787545787545786;20.67117117117117;25.14752252252252;0.5041749066139309;0.5029504504504504;151593.67454954953;111769.98198198198;0.065633832166747;0.07135322949351264
Ⱎ;U2C1E;41.0;50.0;2050.0;1015.0;0.4951219512195122;225.0;0.45;225.0;0.42857142857142855;280.0;0.56;285.0;0.5428571428571428;19.866995073891626;27.049261083743843;0.49667487684729067;0.5520257364029356;239277.53694581278;196487.04433497536;0.09429656628406415;0.1151596043493788
Ⱏ;U2C1F;55.0;50.0;2750.0;1246.0;0.4530909090909091;264.0;0.39111111111111113;355.0;0.5071428571428571;277.0;0.4103703703703704;350.0;0.5;30.170947030497594;24.738362760834672;0.558721241305511;0.5048645461394831;269428.706260032;260834.58828250397;0.08649396669663949;0.0692024961284385
Ⱐ;U2C20;44.0;50.0;2200.0;1032.0;0.4690909090909091;276.0;0.5018181818181818;273.0;0.49636363636363634;215.0;0.39090909090909093;268.0;0.48727272727272725;23.511627906976745;24.15406976744186;0.5467820443482964;0.49294019933554817;260328.5029069767;134113.8604651163;0.10090252050658012;0.06712566691547961
Ⱑ;U2C21;50.0;50.0;2500.0;976.0;0.3904;151.0;0.2416;147.0;0.2352;348.0;0.5568;330.0;0.528;24.081967213114755;30.852459016393443;0.49146871863499497;0.6296420207427234;193658.75409836066;140475.44262295082;0.07936834184359043;0.05757190271432411
Ⱒ;U2C22;47.0;62.0;2914.0;921.0;0.316060398078243;270.0;0.37868162692847124;188.0;0.25268817204301075;182.0;0.2552594670406732;281.0;0.37768817204301075;23.090119435396307;30.55917480998914;0.5019591181607893;0.500970078852281;331865.02497285564;158807.5200868621;0.09373860273038728;0.07805769413688748
Ⱓ;U2C23;44.0;50.0;2200.0;909.0;0.4131818181818182;290.0;0.5272727272727272;322.0;0.5854545454545454;285.0;0.5181818181818182;12.0;0.02181818181818182;16.814081408140815;19.0979097909791;0.39102514902653057;0.38975326104038976;179446.28602860286;152431.5797579758;0.07896426227881313;0.08661751388660217
